system   I             system.c:245  al_install_system                [   0.00111] Allegro version: 5.1.12 (WIP)
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00152] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\PracticaGITgraficos1\Project1\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00174] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00177] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.01059] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.05040] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.05112] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.05116] al_display=012BC7A8
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.05119] al_display->vt=0127C3F0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06233] found 64 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.06240] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06243] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06245] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06248] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06252] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06255] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06257] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06259] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06261] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06264] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06266] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06268] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06270] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06273] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06275] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06279] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06281] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06284] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06286] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06289] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06292] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
